last_name,first_name,phone,email,address,postalZip,region,languages,GPA,major,university
Preston,Noble,(627) 247-3174,noblepreston5243@outlook.couk,Ap #799-2310 Non Street,87960,Durham,Javascript C# Go Swift,3.762711608903328,IST,Vermont Technical College
Lyons,Ima,1-784-424-8866,imalyons@protonmail.net,Ap #648-5818 Dignissim Road,17-46,Hertfordshire,C++ Java R,3.2339719995314065,CE,Lincoln University Pennsylvania
Buck,Renee,(718) 783-4213,reneebuck@hotmail.com,"P.O. Box 722, 7874 Nam St.",03877,Ontario,C C++ Java R Python,3.259819180007332,CIS,Lehigh Univervsity
Welch,Jackson,1-278-889-1047,jacksonwelch@aol.org,130-6290 Commodo Road,84517,New Brunswick,C#,3.3881103590389916,CE,University of Nevada - Reno
Mccarthy,Kimberley,1-234-395-7651,kimberleymccarthy@aol.couk,Ap #140-2315 Vehicula Street,15768,Staffordshire,Python,3.7803212067679226,CS,Michigan State University
Jacobs,Shoshana,1-652-784-0051,shoshanajacobs@hotmail.net,Ap #498-2480 Enim St.,7860,Stirlingshire,Python SQL,3.2454711079247973,CE,Edgewood College
Booker,Rhea,1-154-756-5615,rheabooker@icloud.edu,"P.O. Box 831, 8381 Dolor Rd.",564026,Alberta,Javascript C# Go,3.835777321526535,CS,Bastyr University
Dalton,Brielle,1-548-154-8299,brielledalton@hotmail.org,945-786 Dictum St.,1604,Iowa,R Python SQL Javascript,3.500796160892639,CIS,State University of New York Institute of Technology at Utica/Rome
Berg,Alexandra,(153) 439-3116,alexandraberg@aol.ca,688-4762 Diam. Ave,863463,Dumfriesshire,R Python,2.756019296536821,CIS,Weill Medical College of Cornell University
Pearson,Phelan,1-607-453-3867,phelanpearson8927@icloud.couk,Ap #378-458 Purus Rd.,63898,Georgia,C# Go Swift,2.9416708692165727,CE,West Virginia University Institute of Technology
Barber,Candace,(624) 781-0370,candacebarber@protonmail.ca,960-516 Aptent Street,26-45,Saskatchewan,Go Swift,3.034753556687843,CE,Villanova University
Holloway,Wallace,(281) 701-8757,wallaceholloway849@protonmail.couk,"P.O. Box 473, 7904 Hendrerit St.",26638-230,Aberdeenshire,R Python SQL Javascript,3.050193013925316,CIS,Fitchburg State College
